Model,Accuracy,Precision,Recall,F1-score,VP,FP,FN,VN
LogisticRegression,0.8794117647058823,0.125,0.013157894736842105,0.023809523809523808,1,7,75,597
DecisionTree,0.9,0.5434782608695652,0.6578947368421053,0.5952380952380952,50,42,26,562
RandomForest,0.913235294117647,0.6133333333333333,0.6052631578947368,0.609271523178808,46,29,30,575
KNeighbors,0.875,0.4482758620689655,0.5131578947368421,0.4785276073619632,39,48,37,556
SVM,0.8941176470588236,0.6666666666666666,0.10526315789473684,0.18181818181818182,8,4,68,600
