Model,Accuracy,Precision,Recall,F1-score,VP,FP,FN,VN
LogisticRegression,0.7984084880636605,0.19230769230769232,0.22727272727272727,0.20833333333333334,10,42,34,291
DecisionTree,0.7904509283819628,0.18181818181818182,0.22727272727272727,0.20202020202020202,10,45,34,288
RandomForest,0.830238726790451,0.25,0.22727272727272727,0.23809523809523808,10,30,34,303
KNeighbors,0.7506631299734748,0.17105263157894737,0.29545454545454547,0.21666666666666667,13,63,31,270
SVM,0.7798408488063661,0.21739130434782608,0.3409090909090909,0.26548672566371684,15,54,29,279
